Site_old,Site_new,Treatment,Year,Date_ID,Vial_ID,Order,Family,Identification,Count
N4,C4,Defoliated,2019,01-Jul,C4919KKI-DYSTDAE1,Coleoptera,Dysticidae,Dysticidae,1
N4,C4,Defoliated,2019,15-Jun,C4919KKI-CHRNDAE1,Diptera,Chironomidae,Chironomidae,1
N4,C4,Defoliated,2019,01-Jul,C4919KKI-ORGTN1,Diptera,Oreogeton,Oreogeton,1
N4,C4,Defoliated,2019,14-May,C4919KKI-EP1,Ephemeroptera,Heptageniidae,Epeorus,33
N4,C4,Defoliated,2019,14-May,C4919KKI-PARALEP1,Ephemeroptera,Leptophlebiidae,Paraleptophebia,5
N4,C4,Defoliated,2019,15-Jun,C4919KKI-HEPDAE1,Ephemeroptera,Heptageniidae,Heptageniidae,1
N4,C4,Defoliated,2019,15-Jun,C4919KKI-SERR1,Ephemeroptera,Ephemerellidae,Serratella,4
N4,C4,Defoliated,2019,15-Jun,C4919KKI-BTDAE1,Ephemeroptera,Baetidae,Baetidae,3
N4,C4,Defoliated,2019,14-May,C4919KKI-PLECO1,Plecoptera,,Plecoptera,2
N4,C4,Defoliated,2019,15-Jun,C4919KKI-ZAP1,Plecoptera,Nemoridae,Zapada,5
N4,C4,Defoliated,2019,28-Jun,C4919KKI-CHLDAE1,Plecoptera,Chloroperlidae,Chloroperlidae,35
N4,C4,Defoliated,2019,28-Jun,C4919KKI-CHLDAE2,Plecoptera,Chloroperlidae,Chloroperlidae,17
N4,C4,Defoliated,2019,28-Jun,C4919KKI-LEUCDAE1,Plecoptera,Leuctridae,Leuctridae,2
N4,C4,Defoliated,2019,15-Jun,C4919KKI-RHYCPH1,Trichoptera,Rhyacophilidae,Rhyacophila,10
N4,C4,Defoliated,2019,15-Jun,C4919KKI-PARAPS1,Trichoptera,Hydropsychidae,Parapsyche,1
N5,C5,Defoliated,2019,27-Jul,C5919KKI-CHRNDAE1,Diptera,Chironomidae,Chironomidae,3
N5,C5,Defoliated,2019,27-Jul,C5919KKI-DIPT1,Diptera,,Diptera,1
N5,C5,Defoliated,2019,27-Jul,C5919KKI-DIPT2,Diptera,Ceratopogonidae,Ceratopogonidae,1
N5,C5,Defoliated,2019,14-May,C5919KKI-EP1,Ephemeroptera,Heptageniidae,Epeorus,23
N5,C5,Defoliated,2019,14-May,C5919KKI-EP2,Ephemeroptera,Heptageniidae,Epeorus,23
N5,C5,Defoliated,2019,15-May,C5919KKI-EP3,Ephemeroptera,Heptageniidae,Epeorus,22
N5,C5,Defoliated,2019,29-Jun,C5919KKI-CINYG1,Ephemeroptera,Heptageniidae,Cinygmula,1
N5,C5,Defoliated,2019,29-Jun,C5919KKI-SERR1,Ephemeroptera,Ephemerellidae,Serratella,6
N5,C5,Defoliated,2019,29-Jun,C5919KKI-BTDAE1,Ephemeroptera,Baetidae,Baetidae,14
N5,C5,Defoliated,2019,23-Jun,C5919KKI-CHLDAE1,Plecoptera,Chloroperlidae,Chloroperlidae,12
N5,C5,Defoliated,2019,23-Jun,C5919KKI-PLODDAE1,Plecoptera,Perlodidae,Perlodidae,8
N5,C5,Defoliated,2019,23-Jun,C5919KKI-LEUCDAE1,Plecoptera,Leuctridae,Leuctridae,4
N5,C5,Defoliated,2019,11-Jun,C5919KKI-RHYCPH1,Trichoptera,Rhyacophilidae,Rhyacophila,10
N5,C5,Defoliated,2019,11-Jun,C5919KKI-PARAPS1,Trichoptera,Hydropsychidae,Parapsyche,2
N5,C5,Defoliated,2019,23-Jun,C5919KKI-GLOSS1,Trichoptera,Glossosomatidae,Glossosoma,1
P20,C6,Spray,2019,28-Jul,C6919KKI-CHRNDAE1,Diptera,Chironomidae,Chironomidae,7
P20,C6,Spray,2019,28-Jul,C6919KKI-SIMDAE1,Diptera,Simuliidae,Simuliidae,1
P20,C6,Spray,2019,09-Jun,C6919KKI-CINYG1,Ephemeroptera,Heptageniidae,Cinygmula,1
P20,C6,Spray,2019,09-Jun,C6919KKI-EP1,Ephemeroptera,Heptageniidae,Epeorus,39
P20,C6,Spray,2019,09-Jun,C6919KKI-EP2,Ephemeroptera,Heptageniidae,Epeorus,39
P20,C6,Spray,2019,09-Jun,C6919KKI-EP3,Ephemeroptera,Heptageniidae,Epeorus,39
P20,C6,Spray,2019,09-Jun,C6919KKI-BTDAE1,Ephemeroptera,Baetidae,Baetidae,5
P20,C6,Spray,2019,26-Jun,C6919KKI-SERR1,Ephemeroptera,Ephemerellidae,Serratella,1
P20,C6,Spray,2019,26-Jun,C6919KKI-CHLDAE1,Plecoptera,Chloroperlidae,Chloroperlidae,23
P20,C6,Spray,2019,26-Jun,C6919KKI-PLODDAE1,Plecoptera,Perlodidae,Perlodidae,2
P20,C6,Spray,2019,07-Jul,C6919KKI-PLODDAE2,Plecoptera,Perlodidae,Perlodidae,1
P20,C6,Spray,2019,06-Jul,C6919KKI-PLECO1,Plecoptera,,Plecoptera,2
P20,C6,Spray,2019,11-Jun,C6919KKI-PARAPS1,Trichoptera,Hydropsychidae,Parapsyche,1
P20,C6,Spray,2019,19-Jun,C6919KKI-GLOSS1,Trichoptera,Glossosomatidae,Glossosoma,64
P20,C6,Spray,2019,26-Jun,C6919KKI-RHYCPH1,Trichoptera,Rhyacophilidae,Rhyacophila,3
N6,C7,Defoliated,2019,15-Jun,C7919KKI-DIPT1,Diptera,,Diptera,1
N6,C7,Defoliated,2019,28-Jul,C7919KKI-CHRNDAE1,Diptera,Chironomidae,Chironomidae,22
N6,C7,Defoliated,2019,19-Jun,C7919KKI-EP1,Ephemeroptera,Heptageniidae,Epeorus,19
N6,C7,Defoliated,2019,19-Jun,C7919KKI-EP2,Ephemeroptera,Heptageniidae,Epeorus,19
N6,C7,Defoliated,2019,28-Jun,C7919KKI-CHLDAE1,Plecoptera,Chloroperlidae,Chloroperlidae,18
N6,C7,Defoliated,2019,28-Jun,C7919KKI-LEUCDAE1,Plecoptera,Leuctridae,Leuctridae,2
N6,C7,Defoliated,2019,15-Jun,C7919KKI-RHYCPH1,Trichoptera,Rhyacophilidae,Rhyacophila,14
N6,C7,Defoliated,2019,15-Jun,C7919KKI-RHYCPH2,Trichoptera,Rhyacophilidae,Rhyacophila,14
N6,C7,Defoliated,2019,15-Jun,C7919KKI-RHYCPH3,Trichoptera,Rhyacophilidae,Rhyacophila,14
N6,C7,Defoliated,2019,15-Jun,C7919KKI-GLOSS1,Trichoptera,Glossosomatidae,Glossosoma,29
N6,C7,Defoliated,2019,15-Jun,C7919KKI-LEPIDST1,Trichoptera,Lepidostomatidae,Lepidostomata,1
S1,L10,Spray,2019,27-Jul,L10919KKI-CHRNDAE1,Diptera,Chironomidae,Chironomidae,23
S1,L10,Spray,2019,27-Jul,L10919KKI-CHRNDAEP1,Diptera,Chironomidae,Chironomidae-pupa,25
S1,L10,Spray,2019,27-Jul,L10919KKI-DIPT1,Diptera,,Diptera,2
S1,L10,Spray,2019,09-Jun,L10919KKI-EP1,Ephemeroptera,Heptageniidae,Epeorus,29
S1,L10,Spray,2019,09-Jun,L10919KKI-EP2,Ephemeroptera,Heptageniidae,Epeorus,29
S1,L10,Spray,2019,09-Jun,L10919KKI-EP3,Ephemeroptera,Heptageniidae,Epeorus,30
S1,L10,Spray,2019,12-Jun,L10919KKI-CINYG1,Ephemeroptera,Heptageniidae,Cinygmula,6
S1,L10,Spray,2019,12-Jun,L10919KKI-SERR1,Ephemeroptera,Ephemerellidae,Serratella,6
S1,L10,Spray,2019,12-Jun,L10919KKI-PLECO1,Plecoptera,,Plecoptera,4
S1,L10,Spray,2019,25-Jun,L10919KKI-CHLDAE1,Plecoptera,Chloroperlidae,Chloroperlidae,20
S1,L10,Spray,2019,25-Jun,L10919KKI-CHLDAE2,Plecoptera,Chloroperlidae,Chloroperlidae,20
S1,L10,Spray,2019,25-Jun,L10919KKI-CHLDAE3,Plecoptera,Chloroperlidae,Chloroperlidae,20
S1,L10,Spray,2019,25-Jun,L10919KKI-PLODDAE1,Plecoptera,Perlodidae,Perlodidae,1
S1,L10,Spray,2019,25-Jun,L10919KKI-LEUCDAE1,Plecoptera,Leuctridae,Leuctridae,5
S1,L10,Spray,2019,12-Jun,L10919KKI-RHYCPH1,Trichoptera,Rhyacophilidae,Rhyacophila,8
S1,L10,Spray,2019,12-Jun,L10919KKI-RHYCPH2,Trichoptera,Rhyacophilidae,Rhyacophila,9
S1,L10,Spray,2019,12-Jun,L10919KKI-DOLOPH1,Trichoptera,Philopotamidae,Dolophilodes,4
,,Spray,2019,27-Jul,Misc,Nematode,,Nematode,1
S1,L10,Spray,2019,15-Jun,L10919KKI-GLOSS1,Trichoptera,Glossosomatidae,Glossosoma,136
N2,L11,Defoliated,2019,23-Jun,L11919KKI-EP1,Ephemeroptera,Heptageniidae,Epeorus,28
N2,L11,Defoliated,2019,23-Jun,L11919KKI-EP2,Ephemeroptera,Heptageniidae,Epeorus,28
N2,L11,Defoliated,2019,26-Jun,L11919KKI-EP3,Ephemeroptera,Heptageniidae,Epeorus,27
N2,L11,Defoliated,2019,26-Jun,L11919KKI-CHLDAE1,Plecoptera,Chloroperlidae,Chloroperlidae,13
N2,L11,Defoliated,2019,12-Jun,L11919KKI-RHYCPH1,Trichoptera,Rhyacophilidae,Rhyacophila,3
N2,L11,Defoliated,2019,12-Jun,L11919KKI-GLOSS1,Trichoptera,Glossosomatidae,Glossosoma,77
N2,L11,Defoliated,2019,12-Jun,L11919KKI-PARAPS1,Trichoptera,Hydropsychidae,Parapsyche,3
S2,L12,Spray,2019,15-Jun,,Diptera,Chironomidae,Orthoclad,1
S2,L12,Spray,2019,18-Jun,,Diptera,Chironomidae,Chironomidae,1
S2,L12,Spray,2019,25-Jun,,Diptera,Chironomidae,Chironomidae,1
S2,L12,Spray,2019,18-Jun,L12919KKI-EP1,Ephemeroptera,Heptageniidae,Epeorus,26
S2,L12,Spray,2019,18-Jun,L12919KKI-EP2,Ephemeroptera,Ephemeroptera,Epeorus,26
S2,L12,Spray,2019,18-Jun,L12919KKI-EP3,Ephemeroptera,Heptageniidae,Epeorus,25
S2,L12,Spray,2019,25-Jun,L12919KKI-PLODDAE1,Plecoptera,Perlodidae,Perlodidae,1
S2,L12,Spray,2019,25-Jun,L12919KKI-CHLDAE1,Plecoptera,Chloroperlidae,Chloroperlidae,5
S2,L12,Spray,2019,15-Jun,L12919KKI-GLOSS1,Trichoptera,Glossosomatidae,Glossosoma,55
S2,L12,Spray,2019,25-Jun,L12919KKI-RHYCPH1,Trichoptera,Rhyacophilidae,Rhyacophila,5
S3,L8,Spray,2019,27-Jul,L8919KKI-CHRNDAE1,Diptera,Chironomidae,Chironomidae,20
S3,L8,Spray,2019,27-Jun,L8919KKI-CHRNDAE2,Diptera,Chironomidae,Chironomidae,6
S3,L8,Spray,2019,27-Jul,L8919KKI-CHRNDAE3,Diptera,Chironomidae,Chironomidae,4
S3,L8,Spray,2019,27-Jul,L8919KK1-CHRNDAEP1,Diptera,Chironomidae,Chironomidae-pupa,2
S3,L8,Spray,2019,18-Jun,L8919KKI-BTDAE1,Ephemeroptera,Baetidae,Baetidae,9
S3,L8,Spray,2019,27-Jul,L8919KK1-DIPT1,Diptera,Ceratopogonidae,Ceratopogonidae,1
S3,L8,Spray,2019,18-Jun,L8919KKI-EP1,Ephemeroptera,Heptageniidae,Epeorus,23
S3,L8,Spray,2019,18-Jun,L8919KKI-EP2,Ephemeroptera,Heptageniidae,Epeorus,24
S3,L8,Spray,2019,26-Jun,L8919KKI-SERR1,Ephemeroptera,Ephemerellidae,Serratella,29
S3,L8,Spray,2019,29-Jun,Misc,Ephemeroptera,Heptageniidae,Epeorus-adult,1
S3,L8,Spray,2019,28-Jul,Misc,Oligachaete,,Oligachaete,5
S3,L8,Spray,2019,15-Jun,Misc,Nematode,,Nematode,1
S3,L8,Spray,2019,18-Jun,L8919KKI-PLECO1,Plecoptera,,Plecoptera,5
S3,L8,Spray,2019,29-Jun,L8919KKI-PLODDAE2,Plecoptera,Perlodidae,Perlodidae,10
S3,L8,Spray,2019,18-Jun,L8919KKI-NEMODAE1,Plecoptera,Nemoridae,Nemoridae,2
S3,L8,Spray,2019,18-Jun,L8919KKI-CHLDAE1,Plecoptera,Chloroperlidae,Chloroperlidae,22
S3,L8,Spray,2019,18-Jun,L8919KKI-CHLDAE2,Plecoptera,Chloroperlidae,Chloroperlidae,22
S3,L8,Spray,2019,18-Jun,L8919KKI-CHLDAE3,Plecoptera,Chloroperlidae,Chloroperlidae,21
S3,L8,Spray,2019,27-Jul,L8919KK1-LEUCDAE1,Plecoptera,Leuctridae,Leuctridae,1
S3,L8,Spray,2019,26-Jun,L8919KKI-ZAP1,Plecoptera,Nemoridae,Zapada,6
S3,L8,Spray,2019,29-Jun,L8919KKI-PLODDAE1,Plecoptera,Perlodidae,Perlodidae,20
S3,L8,Spray,2019,15-Jun,L8919KKI-RHYCPH1,Trichoptera,Rhyacophilidae,Rhyacophila,12
S3,L8,Spray,2019,15-Jun,L8919KKI-RHYCPH2,Trichoptera,Rhyacophilidae,Rhyacophila,12
S3,L8,Spray,2019,15-Jun,L8919KKI-GLOSS1,Trichoptera,Glossosomatidae,Glossosoma,73
S3,L8,Spray,2019,15-Jun,L8919KKI-PARAPS1,Trichoptera,Hydropsychidae,Parapsyche,26
S3,L8,Spray,2019,15-Jun,L8919KKI-DOLOPH1,Trichoptera,Philopotamidae,Dolophilodes,6
N1,L9,Defoliated,2019,28-Jul,L9919KKI-CHRNDAE1,Diptera,Chironomidae,Chironomidae,5
N1,L9,Defoliated,2019,28-Jul,L9919KKI-DIPT1,Diptera,,Empididae,2
N1,L9,Defoliated,2019,28-Jul,L9919KKI-CHRNDAEP1,Diptera,,Chironomidae-pupa,1
N1,L9,Defoliated,2019,08-Jun,L9919KKI-BTDAE1,Ephemeroptera,Baetidae,Baetidae,2
N1,L9,Defoliated,2019,08-Jun,L9919KKI-PARALEP1,Ephemeroptera,Leptophlebiidae,Paraleptophebia,1
N1,L9,Defoliated,2019,08-Jun,L9919KKI-EP1,Ephemeroptera,Leptophlebiidae,Epeorus,22
N1,L9,Defoliated,2019,08-Jun,L9919KKI-EP2,Ephemeroptera,Heptageniidae,Epeorus,22
N1,L9,Defoliated,2019,08-Jun,L9919KKI-EP3,Ephemeroptera,Heptageniidae,Epeorus,22
N1,L9,Defoliated,2019,10-Jun,L9919KKI-SERR1,Ephemeroptera,Ephemerellidae,Serratella,4
N1,L9,Defoliated,2019,18-Jun,L9919KKI-CHLDAE1,Plecoptera,Chloroperlidae,Chloroperlidae,20
N1,L9,Defoliated,2019,18-Jun,L9919KKI-CHLDAE2,Plecoptera,Chloroperlidae,Chloroperlidae,20
N1,L9,Defoliated,2019,18-Jun,L9919KKI-CHLDAE3,Plecoptera,Chloroperlidae,Chloroperlidae,21
N1,L9,Defoliated,2019,28-Jul,L9919KKI-PLODDAE1,Plecoptera,Perlodidae,Perlodidae,3
N1,L9,Defoliated,2019,28-Jul,L9919KKI-ZAP1,Plecoptera,Nemoridae,Zapada,1
N1,L9,Defoliated,2019,Graydon,L9919KKI-TNOPTYX,Plecoptera,Taeniopterygidae,Taeniopteryx,4
N1,L9,Defoliated,2019,12-Jun,L9919KKI-PARAPS1,Trichoptera,Hydropsychidae,Parapsyche,6
N1,L9,Defoliated,2019,12-Jun,L9919KKI-DOLOPH1,Trichoptera,Philopotamidae,Dolophilodes,4
N1,L9,Defoliated,2019,12-Jun,L9919KKI-RHYCPH1,Trichoptera,Rhyacophilidae,Rhyacophila,9
N1,L9,Defoliated,2019,12-Jun,L9919KKI-RHYCPH2,Trichoptera,Rhyacophilidae,Rhyacophila,8
S4,U1,Defoliated,2019,11-Jun,K9919KKI-SIMDAEP1,Diptera,Simuliidae,Simuliidae-pupa,25
S4,U1,Defoliated,2019,11-Jun,,Diptera,Simuliidae,Simuliidae-pupa-empty,17
S4,U1,Defoliated,2019,25-Jun,U1919KKI-SIMDAE1,Diptera,Simuliidae,Simuliidae,10
S4,U1,Defoliated,2019,25-Jun,U1919KKI-CHRNDAE1,Diptera,Chironomidae,Chironomidae,10
S4,U1,Defoliated,2019,28-Jul,U1919KKI-CHRNDAE2,Diptera,Chironomidae,Chironomidae,10
S4,U1,Defoliated,2019,28-Jul,U1919KKI-CHRNDAE3,Diptera,Chironomidae,Chironomidae,6
S4,U1,Defoliated,2019,28-Jul,U1919KKI-DIPT1,Diptera,,Ceratopogonidae,1
S4,U1,Defoliated,2019,14-May,U1919KKI-LEPTDAE1,Ephemeroptera,Leptophlebiidae,Leptophlebiidae,4
S4,U1,Defoliated,2019,14-May,U1919KKI-EP1,Ephemeroptera,Heptageniidae,Epeorus,25
S4,U1,Defoliated,2019,14-May,U1919KKI-EP2,Ephemeroptera,Heptageniidae,Epeorus,25
S4,U1,Defoliated,2019,14-May,U1919KKI-EP3,Ephemeroptera,Heptageniidae,Epeorus,25
S4,U1,Defoliated,2019,10-Jun,U1919KKI-CINYG1,Ephemeroptera,Heptageniidae,Cinygmula,13
S4,U1,Defoliated,2019,10-Jun,U1919KKI-BTDAE1,Ephemeroptera,Baetidae,Baetis,4
S4,U1,Defoliated,2019,10-Jun,U1919KKI-ZAP1,Plecoptera,Nemoridae,Zapada,10
S4,U1,Defoliated,2019,26-Jun,U1919KKI-LEUCDAE1,Plecoptera,Leuctridae,Leuctridae,4
S4,U1,Defoliated,2019,26-Jun,U1919KKI-CHLDAE1,Plecoptera,Chloroperlidae,Chloroperlidae,25
S4,U1,Defoliated,2019,26-Jun,U1919KKI-CHLDAE2,Plecoptera,Chloroperlidae,Chloroperlidae,25
S4,U1,Defoliated,2019,26-Jun,U1919KKI-CHLDAE3,Plecoptera,Chloroperlidae,Chloroperlidae,24
S4,U1,Defoliated,2019,10-Jun,U1919KKI-PARAPS1,Trichoptera,Hydropsychidae,Parapsyche,8
S4,U1,Defoliated,2019,10-Jun,U1919KKI-DOLOPH1,Trichoptera,Philopotamidae,Dolophilodes,13
S4,U1,Defoliated,2019,26-Jun,U1919KKI-RHYCPH1,Trichoptera,Rhyacophilidae,Rhyacophila,1
S5,U2,Spray,2019,14-May,U2919KKI-BTDAE1,Ephemeroptera,Baetidae,Baetidae,5
S5,U2,Spray,2019,08-Jun,U2919KKI-CINYG1,Ephemeroptera,Heptageniidae,Cinygmula,1
S5,U2,Spray,2019,08-Jun,U2919KKI-RHITH1,Ephemeroptera,Heptageniidae,Rhithrogena,2
S5,U2,Spray,2019,08-Jun,U2919KKI-EP1,Ephemeroptera,Heptageniidae,Epeorus,20
S5,U2,Spray,2019,08-Jun,U2919KKI-EP2,Ephemeroptera,Heptageniidae,Epeorus,20
S5,U2,Spray,2019,08-Jun,U2919KKI-EP3,Ephemeroptera,Heptageniidae,Epeorus,20
S5,U2,Spray,2019,28-Jul,U2919KKI-DRNLA1,Ephemeroptera,Ephemerellidae,Drunella,1
S5,U2,Spray,2019,10-Jun,U2919KKI-SERR1,Ephemeroptera,Ephemerellidae,Serratella,3
S5,U2,Spray,2019,Graydon,U2919KKI-PELIDAE1,Plecoptera,Perlidae,Perlidae,2
S5,U2,Spray,2019,Graydon,U2919KKI-TNOPDAE1,Plecoptera,Taeniopterygidae,Taeniopterygidae,2
S5,U2,Spray,2019,11-Jun,U2919KKI-PARAPS1,Trichoptera,Hydropsychidae,Parapsyche,8
S5,U2,Spray,2019,11-Jun,U2919KKI-RHYCPH1,Trichoptera,Rhyacophilidae,Rhyacophila,10
S5,U2,Spray,2019,11-Jun,U2919KKI-RHYCPH2,Trichoptera,Rhyacophilidae,Rhyacophila,10
S5,U2,Spray,2019,11-Jun,U2919KKI-RHYCPH3,Trichoptera,Rhyacophilidae,Rhyacophila,10
S6,U3,Spray,2019,27-Jul,U3919KKI-CHRNDAE1,Diptera,Chironomidae,Chironomidae,4
S6,U3,Spray,2019,27-Jul,U3919KKI-CHRNDAE2,Diptera,Chironomidae,Chironomidae,9
S6,U3,Spray,2019,27-Jul,U3919KKI-CHRNDAE3,Diptera,Chironomidae,Chironomidae,11
S6,U3,Spray,2019,27-Jul,U3919KKI-CHRNDAE4,Diptera,Chironomidae,Chironomidae,2
S6,U3,Spray,2019,09-Jun,U3919KKI-CINYG1,Ephemeroptera,Heptageniidae,Cinygmula,1
S6,U3,Spray,2019,09-Jun,U3919KKI-SERR1,Ephemeroptera,Ephemerellidae,Serratella,10
S6,U3,Spray,2019,09-Jun,U3919KKI-EP1,Ephemeroptera,Heptageniidae,Epeorus,18
S6,U3,Spray,2019,10-Jun,U3919KKI-TNOPDAE1,Plecoptera,Taeniopterygidae,Taeniopterygidae,2
S6,U3,Spray,2019,25-Jun,U3919KKI-LEUCDAE1,Plecoptera,Leuctridae,Leuctridae,1
S6,U3,Spray,2019,25-Jun,U3919KKI-CHLDAE1,Plecoptera,Chloroperlidae,Chloroperlidae,16
S6,U3,Spray,2019,12-Jun,U3919KKI-GLOSS1,Trichoptera,Glossosomatidae,Glossosoma,9
S6,U3,Spray,2019,12-Jun,U3919KKI-PARAPS1,Trichoptera,Hydropsychidae,Parapsyche,10
S6,U3,Spray,2019,12-Jun,U3919KKI-RHYCPH1,Trichoptera,Rhyacophilidae,Rhyacophila,8
S6,U3,Spray,2019,25-Jun,U3919KKI-DOLOPH1,Trichoptera,Philopotamidae,Dolophilodes,3
S6,U3,Spray,2019,25-Jun,U3919KKI-DYSTDAE1,Coleoptera,Dysticidae,Dysticidae,1
,,,,,,,,,
,,,,,,,,,
